latitude,longitude
40.650764,-73.88481
40.780148,-73.84603
40.681065,-73.75609
40.753788,-73.744286
40.690468,-73.9879
40.70534,-73.819275
40.84247,-73.85335
40.55895,-74.12551
40.588554,-74.154366
40.689728,-73.99017
40.735302,-74.00994
40.7591,-73.99215
40.88628,-73.82693
40.69687,-73.78072
40.622482,-73.96373
40.751427,-73.82
40.826523,-73.93116
40.71047,-73.85092
40.667236,-73.770004
40.607628,-73.9639
40.663483,-73.9627
40.70665,-73.79805
40.604095,-74.020355
40.84506,-73.916855
40.831158,-73.89144
40.751793,-73.97688
40.662395,-73.93735
40.65817,-73.744965
40.586445,-73.98838
40.647526,-73.94732
40.65527,-73.952484
40.648182,-73.93001
40.77402,-73.95456
40.706608,-74.00204
40.836796,-73.91949
40.78214,-73.824844
40.626705,-73.94757
40.850166,-73.93576
40.818893,-73.89229
40.622456,-73.98685
40.723335,-73.93888
40.748398,-73.94479
40.836708,-73.868195
40.661037,-73.99744
40.710625,-73.76778
40.692757,-73.77463
40.66661,-73.876144
40.58584,-73.93788
40.7375,-73.93385
40.686085,-73.982666
40.658546,-73.99634
40.62707,-74.01865
40.698586,-73.89983
40.753773,-73.926506
40.665314,-73.73411
40.735123,-73.87524
40.727818,-73.99476
40.829044,-73.87444
