borough,vehicle_type_1,crash_severity,crash_count
STATEN ISLAND,Moped,Non-Fatal,11
BRONX,E-Bik,Non-Fatal,11
MANHATTAN,UNKNO,Non-Fatal,11
MANHATTAN,TRK,Non-Fatal,11
QUEENS,ambulance,Non-Fatal,11
BRONX,TRAIL,Non-Fatal,11
QUEENS,Trail,Non-Fatal,11
BROOKLYN,Minibike,Non-Fatal,11
BROOKLYN,FORKL,Non-Fatal,11
BROOKLYN,FIRET,Non-Fatal,11
BROOKLYN,Tractor Truck Diesel,Fatal,11
BROOKLYN,trail,Non-Fatal,11
STATEN ISLAND,UNKNO,Non-Fatal,11
BRONX,SCHOOL BUS,Non-Fatal,11
BRONX,ambulance,Non-Fatal,11
BROOKLYN,UTIL,Non-Fatal,10
BROOKLYN,Pedicab,Non-Fatal,10
BRONX,COM,Non-Fatal,10
QUEENS,FIRETRUCK,Non-Fatal,10
BROOKLYN,Tow Truck,Non-Fatal,10
MANHATTAN,Fire,Non-Fatal,10
QUEENS,UNK,Non-Fatal,10
QUEENS,BUS,Fatal,10
MANHATTAN,VAN,Fatal,10
BROOKLYN,Fire truck,Non-Fatal,10
BROOKLYN,STREE,Non-Fatal,10
BROOKLYN,Van Camper,Non-Fatal,10
BROOKLYN,SCHOOL BUS,Non-Fatal,10
BRONX,UNK,Non-Fatal,10
BROOKLYN,School bus,Non-Fatal,10
BROOKLYN,AMB,Non-Fatal,10
QUEENS,SCOOT,Non-Fatal,10
QUEENS,DELV,Non-Fatal,10
BRONX,Tow Truck,Non-Fatal,10
MANHATTAN,Open Body,Non-Fatal,10
MANHATTAN,Bulk Agriculture,Non-Fatal,10
BROOKLYN,Dump,Fatal,10
BRONX,TRAILER,Non-Fatal,10
QUEENS,TRACT,Non-Fatal,10
MANHATTAN,UTIL,Non-Fatal,10
BROOKLYN,DELIV,Non-Fatal,10
BRONX,Pallet,Non-Fatal,10
MANHATTAN,UNK,Non-Fatal,10
BROOKLYN,SCHOO,Non-Fatal,10
QUEENS,truck,Non-Fatal,10
MANHATTAN,Pick-up Truck,Fatal,10
BRONX,ELECT,Non-Fatal,10
MANHATTAN,AMB,Non-Fatal,9
BROOKLYN,Unknown,Non-Fatal,9
MANHATTAN,Pallet,Non-Fatal,9
QUEENS,SCHOO,Non-Fatal,9
BROOKLYN,Minicycle,Non-Fatal,9
BROOKLYN,USPS,Non-Fatal,9
MANHATTAN,fire,Non-Fatal,9
BROOKLYN,TOW TRUCK,Non-Fatal,9
BRONX,TOW TRUCK,Non-Fatal,9
BROOKLYN,GARBAGE TR,Non-Fatal,9
BROOKLYN,Commercial,Non-Fatal,9
STATEN ISLAND,3-Door,Non-Fatal,9
BROOKLYN,ELECT,Non-Fatal,9
QUEENS,FDNY FIRE,Non-Fatal,9
BROOKLYN,Bike,Fatal,9
BROOKLYN,UNKNOWN,Fatal,9
STATEN ISLAND,Tanker,Non-Fatal,9
BRONX,Pickup with mounted Camper,Non-Fatal,9
BRONX,SCHOO,Non-Fatal,9
BROOKLYN,PAS,Non-Fatal,9
BRONX,MOTORCYCLE,Fatal,9
QUEENS,Lunch Wagon,Non-Fatal,9
QUEENS,UNKNO,Non-Fatal,9
BROOKLYN,moped,Non-Fatal,9
MANHATTAN,E-Sco,Non-Fatal,9
BRONX,UNKNOWN,Fatal,9
QUEENS,Fire Truck,Non-Fatal,9
QUEENS,Fire truck,Non-Fatal,9
QUEENS,fire,Non-Fatal,8
MANHATTAN,dump,Non-Fatal,8
QUEENS,Pallet,Non-Fatal,8
QUEENS,Hopper,Non-Fatal,8
MANHATTAN,Truck,Non-Fatal,8
QUEENS,AMBU,Non-Fatal,8
QUEENS,Dump,Fatal,8
BROOKLYN,Moped,Fatal,8
BROOKLYN,SANITATION,Non-Fatal,8
MANHATTAN,TAXI,Fatal,8
BROOKLYN,SCOOT,Non-Fatal,8
MANHATTAN,MOTORCYCLE,Fatal,8
MANHATTAN,BUS,Fatal,8
BRONX,COMMERCIAL,Non-Fatal,8
BROOKLYN,FDNY FIRE,Non-Fatal,8
MANHATTAN,PAS,Non-Fatal,8
MANHATTAN,TRAILER,Non-Fatal,8
QUEENS,Box Truck,Fatal,8
QUEENS,FDNY TRUCK,Non-Fatal,8
BRONX,Bus,Fatal,8
MANHATTAN,REFG,Non-Fatal,8
MANHATTAN,Motorized Home,Non-Fatal,8
STATEN ISLAND,Snow Plow,Non-Fatal,8
BROOKLYN,FREIG,Non-Fatal,8
BROOKLYN,Scooter,Non-Fatal,8
MANHATTAN,FDNY AMBUL,Non-Fatal,8
MANHATTAN,Commercial,Non-Fatal,8
BROOKLYN,COMME,Non-Fatal,8
QUEENS,TOW T,Non-Fatal,8
QUEENS,E-Bik,Non-Fatal,8
QUEENS,DUMP TRUCK,Non-Fatal,8
BRONX,DELIV,Non-Fatal,7
BROOKLYN,TANK,Non-Fatal,7
STATEN ISLAND,Pick-up Truck,Fatal,7
BROOKLYN,FDNY TRUCK,Non-Fatal,7
QUEENS,Trailer,Non-Fatal,7
BROOKLYN,E-Bike,Fatal,7
STATEN ISLAND,Concrete Mixer,Non-Fatal,7
MANHATTAN,trail,Non-Fatal,7
MANHATTAN,Dump,Fatal,7
QUEENS,FORKL,Non-Fatal,7
MANHATTAN,bus,Non-Fatal,7
MANHATTAN,Trailer,Non-Fatal,7
QUEENS,LARGE COM VEH(6 OR MORE TIRES),Fatal,7
QUEENS,Pickup with mounted Camper,Non-Fatal,7
QUEENS,FDNY AMBUL,Non-Fatal,7
BRONX,Bulk Agriculture,Non-Fatal,7
BROOKLYN,BOX T,Non-Fatal,7
QUEENS,Motorized Home,Non-Fatal,7
QUEENS,Fire,Non-Fatal,7
BRONX,FIRET,Non-Fatal,7
BROOKLYN,fire truck,Non-Fatal,7
BROOKLYN,Garbage or Refuse,Fatal,7
BROOKLYN,BOX TRUCK,Non-Fatal,7
BRONX,AMB,Non-Fatal,7
STATEN ISLAND,TRUCK,Non-Fatal,7
BRONX,Pick-up Truck,Fatal,7
BROOKLYN,COM,Non-Fatal,7
BROOKLYN,DUMP TRUCK,Non-Fatal,7
QUEENS,UTILI,Non-Fatal,7
BROOKLYN,bus,Non-Fatal,7
BROOKLYN,SELF,Non-Fatal,7
MANHATTAN,OTHER,Fatal,7
BRONX,BOX TRUCK,Non-Fatal,7
STATEN ISLAND,DUMP,Non-Fatal,6
BROOKLYN,MACK,Non-Fatal,6
QUEENS,Tow Truck,Non-Fatal,6
BROOKLYN,PICKUP,Non-Fatal,6
BROOKLYN,Sanitation,Non-Fatal,6
QUEENS,TOW TRUCK,Non-Fatal,6
BRONX,TRACT,Non-Fatal,6
BRONX,Truck,Non-Fatal,6
BRONX,Lunch Wagon,Non-Fatal,6
BROOKLYN,FORKLIFT,Non-Fatal,6
MANHATTAN,ambu,Non-Fatal,6
QUEENS,BOX T,Non-Fatal,6
BROOKLYN,Vanette,Non-Fatal,6
MANHATTAN,FIRETRUCK,Non-Fatal,6
BROOKLYN,ROAD SWEEP,Non-Fatal,6
MANHATTAN,Minibike,Non-Fatal,6
BROOKLYN,Firetruck,Non-Fatal,6
MANHATTAN,COMMERCIAL,Non-Fatal,6
BROOKLYN,FLAT,Non-Fatal,6
QUEENS,FIRET,Non-Fatal,6
BROOKLYN,VAN,Fatal,6
QUEENS,TANK,Non-Fatal,6
BRONX,SCOOT,Non-Fatal,6
QUEENS,dump,Non-Fatal,6
BROOKLYN,USPS TRUCK,Non-Fatal,6
BROOKLYN,OTHER,Fatal,6
MANHATTAN,FDNY FIRE,Non-Fatal,6
BROOKLYN,OMR,Non-Fatal,6
QUEENS,usps,Non-Fatal,6
BRONX,FDNY FIRE,Non-Fatal,6
BRONX,Trailer,Non-Fatal,6
QUEENS,Minicycle,Non-Fatal,6
MANHATTAN,schoo,Non-Fatal,6
MANHATTAN,STAK,Non-Fatal,6
MANHATTAN,Scooter,Non-Fatal,6
MANHATTAN,Fire Truck,Non-Fatal,6
BRONX,Commercial,Non-Fatal,6
MANHATTAN,BOX T,Non-Fatal,5
