hour,day_of_week,contributing_factor,total_pedestrian_injuries
21,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,27
3,3,Unspecified,27
18,3,Unsafe Speed,27
11,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,27
7,5,Backing Unsafely,27
7,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,27
11,5,Drugs (illegal),27
17,5,Unsafe Speed,27
10,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,27
7,6,Backing Unsafely,27
16,7,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,27
2,6,Driver Inattention/Distraction,27
17,3,View Obstructed/Limited,27
17,6,View Obstructed/Limited,26
14,3,Traffic Control Disregarded,26
20,4,Backing Unsafely,26
3,5,Unspecified,26
17,5,View Obstructed/Limited,26
21,5,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,26
14,3,View Obstructed/Limited,26
7,3,Glare,26
11,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,26
18,3,View Obstructed/Limited,26
2,3,Unspecified,26
21,5,Backing Unsafely,26
20,6,Backing Unsafely,26
14,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,26
2,2,Driver Inattention/Distraction,25
0,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
16,6,Traffic Control Disregarded,25
20,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
18,3,Passenger Distraction,25
19,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
7,2,Backing Unsafely,25
3,7,Failure to Yield Right-of-Way,25
0,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
18,3,Traffic Control Disregarded,25
12,4,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
7,1,Driver Inattention/Distraction,25
4,6,Driver Inattention/Distraction,25
19,3,View Obstructed/Limited,25
4,7,Failure to Yield Right-of-Way,25
10,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,25
0,1,Backing Unsafely,25
16,3,Unsafe Speed,24
17,4,Unsafe Speed,24
21,3,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
10,1,Backing Unsafely,24
15,3,View Obstructed/Limited,24
22,6,Backing Unsafely,24
9,2,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
21,6,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,24
