hour,day_of_week,contributing_factor,total_pedestrian_injuries
17,6,1,0
11,3,Illness,0
12,3,Traffic Control Device Improper/Non-Working,0
18,1,Cell Phone (hand-Held),0
21,2,Driverless/Runaway Vehicle,0
22,7,Eating or Drinking,0
13,1,Reaction to Other Uninvolved Vehicle,0
5,3,Cell Phone (hands-free),0
15,1,Reaction to Other Uninvolved Vehicle,0
4,7,Traffic Control Device Improper/Non-Working,0
6,5,Illness,0
21,4,Traffic Control Device Improper/Non-Working,0
7,1,Other Electronic Device,0
6,7,Tow Hitch Defective,0
11,7,Traffic Control Device Improper/Non-Working,0
10,2,Cell Phone (hand-Held),0
18,3,Cell Phone (hands-free),0
13,3,Using On Board Navigation Device,0
6,7,Accelerator Defective,0
9,6,Accelerator Defective,0
4,2,Failure to Keep Right,0
5,7,Windshield Inadequate,0
14,7,Cell Phone (hand-held),0
0,7,Drugs (Illegal),0
14,1,Drugs (Illegal),0
15,4,Cell Phone (hands-free),0
10,4,Vehicle Vandalism,0
1,2,Steering Failure,0
18,7,Other Lighting Defects,0
21,1,Drugs (Illegal),0
20,5,Cell Phone (hands-free),0
11,3,Traffic Control Device Improper/Non-Working,0
23,6,Drugs (Illegal),0
18,3,Tow Hitch Defective,0
21,4,Tow Hitch Defective,0
2,7,Cell Phone (hands-free),0
5,4,Headlights Defective,0
13,7,Tow Hitch Defective,0
20,3,Reaction to Other Uninvolved Vehicle,0
7,6,Traffic Control Device Improper/Non-Working,0
6,6,Cell Phone (hand-Held),0
15,3,Drugs (illegal),0
22,1,Other Lighting Defects,0
5,4,Illness,0
3,4,Illnes,0
3,7,Traffic Control Device Improper/Non-Working,0
20,2,Headlights Defective,0
5,6,Illness,0
18,1,Cell Phone (hand-held),0
10,2,80,0
14,6,Tow Hitch Defective,0
0,7,Headlights Defective,0
21,6,Vehicle Vandalism,0
18,6,Other Lighting Defects,0
23,1,Cell Phone (hands-free),0
4,1,Tow Hitch Defective,0
9,1,Drugs (Illegal),0
16,7,Drugs (Illegal),0
9,6,Cell Phone (hand-Held),0
6,7,Traffic Control Device Improper/Non-Working,0
12,6,Vehicle Vandalism,0
23,3,Cell Phone (hands-free),0
20,7,Eating or Drinking,0
2,5,Cell Phone (hands-free),0
13,4,Windshield Inadequate,0
14,1,Cell Phone (hands-free),0
3,7,Driverless/Runaway Vehicle,0
12,4,Shoulders Defective/Improper,0
3,2,Reaction to Other Uninvolved Vehicle,0
17,2,Cell Phone (hands-free),0
4,4,Illness,0
0,2,Cell Phone (hand-Held),0
7,4,Traffic Control Device Improper/Non-Working,0
11,7,Texting,0
12,5,Tow Hitch Defective,0
7,5,Cell Phone (hand-Held),0
2,1,Headlights Defective,0
22,3,Shoulders Defective/Improper,0
19,7,Windshield Inadequate,0
23,6,Other Lighting Defects,0
1,7,80,0
10,5,Vehicle Vandalism,0
16,5,80,0
23,5,Windshield Inadequate,0
19,7,Cell Phone (hand-held),0
19,6,Other Lighting Defects,0
4,1,Headlights Defective,0
15,1,Tow Hitch Defective,0
9,1,Shoulders Defective/Improper,0
17,2,Cell Phone (hand-held),0
2,7,Headlights Defective,0
21,1,Tow Hitch Defective,0
3,6,Accelerator Defective,0
2,1,Glare,0
0,2,Illnes,0
12,1,Cell Phone (hands-free),0
8,4,Eating or Drinking,0
7,7,Cell Phone (hand-Held),0
9,1,Eating or Drinking,0
9,7,Eating or Drinking,0
5,1,Cell Phone (hand-Held),0
19,7,Vehicle Vandalism,0
6,4,Eating or Drinking,0
15,3,Shoulders Defective/Improper,0
22,4,Cell Phone (hands-free),0
6,6,Tinted Windows,0
21,7,Illnes,0
15,4,Vehicle Vandalism,0
22,2,Cell Phone (hand-Held),0
20,4,Cell Phone (hand-Held),0
5,7,Texting,0
1,2,Headlights Defective,0
21,7,Eating or Drinking,0
10,2,Vehicle Vandalism,0
20,6,Shoulders Defective/Improper,0
18,2,Windshield Inadequate,0
22,1,Using On Board Navigation Device,0
22,7,Tinted Windows,0
12,4,Tow Hitch Defective,0
15,4,Shoulders Defective/Improper,0
22,4,Eating or Drinking,0
0,2,Windshield Inadequate,0
14,7,Tow Hitch Defective,0
19,3,Other Lighting Defects,0
1,6,Illnes,0
16,1,Vehicle Vandalism,0
9,4,Listening/Using Headphones,0
8,5,Using On Board Navigation Device,0
12,2,Using On Board Navigation Device,0
20,4,Vehicle Vandalism,0
1,3,Accelerator Defective,0
6,7,Tinted Windows,0
10,3,Tinted Windows,0
23,3,Passing Too Closely,0
2,2,Passing Too Closely,0
1,1,Following Too Closely,0
23,4,Lane Marking Improper/Inadequate,0
1,1,Unsafe Lane Changing,0
3,2,Traffic Control Disregarded,0
8,4,Unsafe Lane Changing,0
3,7,Reaction to Uninvolved Vehicle,0
2,5,Reaction to Uninvolved Vehicle,0
17,6,Steering Failure,0
12,3,Reaction to Uninvolved Vehicle,0
12,1,Unsafe Lane Changing,0
21,4,Unsafe Lane Changing,0
2,4,Fell Asleep,0
1,2,Reaction to Uninvolved Vehicle,0
10,3,Alcohol Involvement,0
15,5,Oversized Vehicle,0
2,3,Passing or Lane Usage Improper,0
2,6,Following Too Closely,0
8,7,Fell Asleep,0
12,6,Oversized Vehicle,0
5,6,Animals Action,0
7,3,Unsafe Lane Changing,0
13,7,Reaction to Uninvolved Vehicle,0
3,5,Following Too Closely,0
22,3,Fell Asleep,0
1,6,Passing or Lane Usage Improper,0
5,7,Following Too Closely,0
16,7,Lost Consciousness,0
10,4,Reaction to Uninvolved Vehicle,0
3,1,Unsafe Lane Changing,0
17,6,Cell Phone (hand-Held),0
11,6,Lane Marking Improper/Inadequate,0
6,5,Unsafe Lane Changing,0
0,6,Brakes Defective,0
12,3,Illnes,0
11,1,80,0
7,2,Oversized Vehicle,0
10,1,Pavement Slippery,0
6,5,Lost Consciousness,0
22,7,Tire Failure/Inadequate,0
9,1,Obstruction/Debris,0
0,5,Fell Asleep,0
2,3,Alcohol Involvement,0
5,4,Listening/Using Headphones,0
18,3,Fell Asleep,0
10,6,Fatigued/Drowsy,0
12,1,Animals Action,0
5,5,Passing Too Closely,0
12,1,Reaction to Uninvolved Vehicle,0
1,7,Failure to Keep Right,0
11,7,Oversized Vehicle,0
20,6,Steering Failure,0
8,5,Fatigued/Drowsy,0
15,3,Oversized Vehicle,0
21,5,Oversized Vehicle,0
1,4,Following Too Closely,0
4,6,Animals Action,0
2,2,Pavement Slippery,0
21,7,Oversized Vehicle,0
9,1,Fell Asleep,0
3,6,Oversized Vehicle,0
11,4,Drugs (illegal),0
18,4,Fatigued/Drowsy,0
4,7,Steering Failure,0
21,7,Unsafe Lane Changing,0
12,6,Steering Failure,0
12,3,Cell Phone (hands-free),0
18,6,Pavement Defective,0
1,7,Cell Phone (hand-Held),0
2,3,Following Too Closely,0
6,6,Pavement Defective,0
6,4,Animals Action,0
9,3,Illnes,0
14,7,Steering Failure,0
4,4,Fell Asleep,0
5,7,Brakes Defective,0
8,2,Brakes Defective,0
10,1,Fell Asleep,0
0,4,Fell Asleep,0
20,3,Steering Failure,0
2,7,Tire Failure/Inadequate,0
2,4,Brakes Defective,0
11,3,Physical Disability,0
12,3,Failure to Keep Right,0
23,4,Tire Failure/Inadequate,0
20,7,Fell Asleep,0
13,6,Traffic Control Device Improper/Non-Working,0
11,7,Pavement Defective,0
9,5,Illness,0
19,7,Lost Consciousness,0
19,5,Pavement Defective,0
17,2,Shoulders Defective/Improper,0
6,3,Oversized Vehicle,0
3,1,Animals Action,0
10,1,Illnes,0
5,3,Passing or Lane Usage Improper,0
6,1,Steering Failure,0
2,7,Animals Action,0
23,2,Obstruction/Debris,0
3,2,Following Too Closely,0
5,7,Lost Consciousness,0
17,1,Pavement Defective,0
22,7,Fell Asleep,0
18,1,Illness,0
11,2,Fatigued/Drowsy,0
17,1,Lost Consciousness,0
11,3,Brakes Defective,0
4,6,Fell Asleep,0
19,6,Lost Consciousness,0
2,7,Pavement Defective,0
8,5,Drugs (illegal),0
9,2,Failure to Keep Right,0
11,4,Steering Failure,0
12,1,Fell Asleep,0
21,4,Oversized Vehicle,0
9,5,Animals Action,0
16,4,Steering Failure,0
22,4,Failure to Keep Right,0
15,4,Cell Phone (hand-Held),0
21,2,Reaction to Other Uninvolved Vehicle,0
8,4,Animals Action,0
3,7,Fatigued/Drowsy,0
22,7,Lost Consciousness,0
6,1,Using On Board Navigation Device,0
22,6,Accelerator Defective,0
6,6,Illnes,0
1,2,Prescription Medication,0
15,4,Brakes Defective,0
5,6,Drugs (illegal),0
1,7,Pavement Defective,0
10,1,Pavement Defective,0
17,2,Steering Failure,0
4,4,Cell Phone (hand-Held),0
22,6,Illness,0
18,3,Cell Phone (hand-Held),0
14,1,Illnes,0
20,4,Illness,0
22,1,Brakes Defective,0
4,5,Animals Action,0
5,3,Fatigued/Drowsy,0
15,1,Lost Consciousness,0
9,6,Steering Failure,0
7,1,Failure to Keep Right,0
1,7,Driverless/Runaway Vehicle,0
17,3,Headlights Defective,0
10,7,Pavement Defective,0
3,3,Fatigued/Drowsy,0
10,3,Illnes,0
6,4,Cell Phone (hand-Held),0
6,4,Using On Board Navigation Device,0
17,4,Accelerator Defective,0
14,1,Obstruction/Debris,0
5,5,Brakes Defective,0
22,5,Fell Asleep,0
6,6,Prescription Medication,0
4,6,Outside Car Distraction,0
0,1,Traffic Control Device Improper/Non-Working,0
6,1,Animals Action,0
11,4,Pavement Slippery,0
2,5,Passing Too Closely,0
10,6,Driverless/Runaway Vehicle,0
16,1,Driverless/Runaway Vehicle,0
14,6,Driverless/Runaway Vehicle,0
5,2,Failure to Keep Right,0
8,3,Eating or Drinking,0
23,5,Tire Failure/Inadequate,0
6,6,Steering Failure,0
2,3,Reaction to Uninvolved Vehicle,0
1,7,Oversized Vehicle,0
2,2,Driver Inexperience,0
7,1,Texting,0
9,3,Tinted Windows,0
19,1,Driverless/Runaway Vehicle,0
18,4,Using On Board Navigation Device,0
8,6,Illnes,0
10,6,Tire Failure/Inadequate,0
2,2,Pavement Defective,0
2,7,Vehicle Vandalism,0
22,6,Physical Disability,0
13,7,Obstruction/Debris,0
15,4,Illnes,0
6,2,Physical Disability,0
13,3,Vehicle Vandalism,0
0,2,Steering Failure,0
16,4,80,0
17,7,Using On Board Navigation Device,0
20,3,Headlights Defective,0
23,3,Driverless/Runaway Vehicle,0
12,5,Animals Action,0
12,7,Tire Failure/Inadequate,0
10,7,Reaction to Other Uninvolved Vehicle,0
1,1,Animals Action,0
23,1,Steering Failure,0
17,7,Pavement Defective,0
22,1,Pavement Defective,0
1,5,Lost Consciousness,0
5,2,Cell Phone (hand-Held),0
5,7,Steering Failure,0
7,3,Steering Failure,0
8,7,Drugs (Illegal),0
11,3,Steering Failure,0
19,3,Cell Phone (hands-free),0
21,5,Brakes Defective,0
7,4,Illnes,0
22,4,Brakes Defective,0
0,3,Steering Failure,0
2,6,Unsafe Lane Changing,0
14,5,Steering Failure,0
21,6,Illnes,0
13,2,Physical Disability,0
5,4,Drugs (illegal),0
19,4,Fell Asleep,0
18,7,80,0
5,1,Tire Failure/Inadequate,0
23,2,Oversized Vehicle,0
2,5,Lost Consciousness,0
5,5,Passing or Lane Usage Improper,0
2,1,Other Lighting Defects,0
9,2,Accelerator Defective,0
14,2,Steering Failure,0
10,2,Traffic Control Device Improper/Non-Working,0
1,6,Tire Failure/Inadequate,0
22,7,Other Electronic Device,0
19,3,Brakes Defective,0
2,6,Fatigued/Drowsy,0
15,5,Illness,0
10,1,Vehicle Vandalism,0
2,3,Brakes Defective,0
5,7,Animals Action,0
11,5,Tow Hitch Defective,0
22,2,Pavement Defective,0
21,4,Failure to Keep Right,0
0,5,Tow Hitch Defective,0
13,6,Steering Failure,0
22,5,Tire Failure/Inadequate,0
18,7,Drugs (illegal),0
19,5,Lane Marking Improper/Inadequate,0
14,3,Tire Failure/Inadequate,0
2,3,Drugs (illegal),0
16,5,Lane Marking Improper/Inadequate,0
4,6,Vehicle Vandalism,0
8,4,Accelerator Defective,0
21,7,Drugs (illegal),0
7,1,Traffic Control Device Improper/Non-Working,0
7,3,Eating or Drinking,0
20,3,Fell Asleep,0
21,5,Tire Failure/Inadequate,0
2,4,Prescription Medication,0
4,7,Using On Board Navigation Device,0
6,2,Eating or Drinking,0
20,5,Obstruction/Debris,0
16,6,Tire Failure/Inadequate,0
13,7,Driverless/Runaway Vehicle,0
19,3,Illnes,0
12,1,Accelerator Defective,0
2,3,Tow Hitch Defective,0
0,1,Lane Marking Improper/Inadequate,0
0,3,Brakes Defective,0
20,6,Tow Hitch Defective,0
10,6,Shoulders Defective/Improper,0
9,5,Vehicle Vandalism,0
23,4,Pavement Defective,0
9,7,Tire Failure/Inadequate,0
10,7,Vehicle Vandalism,0
12,3,Tinted Windows,0
10,5,Driverless/Runaway Vehicle,0
1,6,Cell Phone (hands-free),0
5,3,Pavement Defective,0
9,7,Accelerator Defective,0
12,2,Tow Hitch Defective,0
21,4,Illnes,0
9,2,Tire Failure/Inadequate,0
15,6,Windshield Inadequate,0
18,4,Illnes,0
23,3,Cell Phone (hand-Held),0
9,1,Tire Failure/Inadequate,0
8,5,Reaction to Other Uninvolved Vehicle,0
23,2,80,0
17,5,Listening/Using Headphones,0
8,6,Vehicle Vandalism,0
5,7,Pavement Defective,0
1,3,Texting,0
6,2,Tire Failure/Inadequate,0
21,4,Fell Asleep,0
22,3,Animals Action,0
23,6,Headlights Defective,0
2,1,Reaction to Other Uninvolved Vehicle,0
13,5,Illness,0
12,4,Illness,0
3,2,Physical Disability,0
23,6,Traffic Control Device Improper/Non-Working,0
4,4,Brakes Defective,0
1,5,Prescription Medication,0
14,6,Pavement Defective,0
22,6,Pavement Defective,0
12,2,Fell Asleep,0
10,4,Animals Action,0
23,7,Vehicle Vandalism,0
6,2,Animals Action,0
1,3,Prescription Medication,0
3,6,Animals Action,0
16,3,Traffic Control Device Improper/Non-Working,0
14,4,Shoulders Defective/Improper,0
4,3,Reaction to Other Uninvolved Vehicle,0
1,6,Lane Marking Improper/Inadequate,0
20,3,Lane Marking Improper/Inadequate,0
10,4,Illness,0
7,1,Animals Action,0
7,7,Other Electronic Device,0
16,7,Tow Hitch Defective,0
20,1,Lane Marking Improper/Inadequate,0
17,3,Illnes,0
10,5,Windshield Inadequate,0
6,6,Tire Failure/Inadequate,0
19,1,Cell Phone (hands-free),0
16,3,Drugs (Illegal),0
23,2,Illnes,0
10,4,Eating or Drinking,0
14,2,Driverless/Runaway Vehicle,0
8,6,Using On Board Navigation Device,0
21,3,Illness,0
1,3,Steering Failure,0
16,4,Cell Phone (hands-free),0
4,3,Steering Failure,0
20,7,Other Lighting Defects,0
9,2,Windshield Inadequate,0
17,5,Tire Failure/Inadequate,0
22,6,Glare,0
3,1,Driverless/Runaway Vehicle,0
18,6,Accelerator Defective,0
12,1,Driverless/Runaway Vehicle,0
19,5,Animals Action,0
10,3,Vehicle Vandalism,0
2,3,Reaction to Other Uninvolved Vehicle,0
16,1,Drugs (illegal),0
23,5,Animals Action,0
21,7,Accelerator Defective,0
6,5,Tire Failure/Inadequate,0
13,4,Lane Marking Improper/Inadequate,0
3,5,Tire Failure/Inadequate,0
16,1,Cell Phone (hand-Held),0
21,1,Traffic Control Device Improper/Non-Working,0
5,6,Lane Marking Improper/Inadequate,0
7,5,Traffic Control Device Improper/Non-Working,0
14,5,Vehicle Vandalism,0
8,2,Vehicle Vandalism,0
11,2,Cell Phone (hands-free),0
2,5,Illnes,0
19,7,Animals Action,0
4,4,Traffic Control Device Improper/Non-Working,0
8,3,Shoulders Defective/Improper,0
17,6,Cell Phone (hand-held),0
5,7,Driverless/Runaway Vehicle,0
18,5,Drugs (illegal),0
3,4,Other Electronic Device,0
6,1,Accelerator Defective,0
9,5,Drugs (illegal),0
20,7,80,0
6,4,Tinted Windows,0
7,6,Steering Failure,0
23,2,Lane Marking Improper/Inadequate,0
5,6,Shoulders Defective/Improper,0
2,7,Drugs (Illegal),0
23,7,Shoulders Defective/Improper,0
6,1,Reaction to Other Uninvolved Vehicle,0
16,5,Eating or Drinking,0
7,3,Illness,0
18,7,Lane Marking Improper/Inadequate,0
12,4,Drugs (illegal),0
0,1,Illnes,0
18,4,Tow Hitch Defective,0
7,5,80,0
23,5,Using On Board Navigation Device,0
6,3,Drugs (Illegal),0
5,1,Cell Phone (hands-free),0
3,4,Brakes Defective,0
17,5,Cell Phone (hands-free),0
10,7,Traffic Control Device Improper/Non-Working,0
23,2,Other Electronic Device,0
20,1,80,0
11,3,Cell Phone (hand-Held),0
18,4,Accelerator Defective,0
15,7,Reaction to Other Uninvolved Vehicle,0
15,7,Tow Hitch Defective,0
13,4,Drugs (Illegal),0
14,6,Cell Phone (hands-free),0
0,6,Tinted Windows,0
2,6,Reaction to Other Uninvolved Vehicle,0
9,2,Reaction to Other Uninvolved Vehicle,0
2,4,Animals Action,0
3,4,Illness,0
16,3,Cell Phone (hand-Held),0
6,2,Traffic Control Device Improper/Non-Working,0
18,7,Traffic Control Device Improper/Non-Working,0
6,6,Other Lighting Defects,0
2,3,Tire Failure/Inadequate,0
19,1,Drugs (illegal),0
18,1,Lane Marking Improper/Inadequate,0
20,1,Glare,0
0,4,Drugs (Illegal),0
13,1,Accelerator Defective,0
0,2,Drugs (Illegal),0
0,3,Reaction to Other Uninvolved Vehicle,0
19,3,Tow Hitch Defective,0
16,7,80,0
10,1,Eating or Drinking,0
8,5,Eating or Drinking,0
3,2,Illness,0
20,2,Cell Phone (hand-held),0
22,1,Cell Phone (hand-Held),0
23,3,Reaction to Other Uninvolved Vehicle,0
16,6,Vehicle Vandalism,0
9,4,Drugs (Illegal),0
1,7,Lane Marking Improper/Inadequate,0
18,1,Accelerator Defective,0
6,5,Accelerator Defective,0
21,7,Tinted Windows,0
18,1,Reaction to Other Uninvolved Vehicle,0
10,2,Headlights Defective,0
5,3,Driverless/Runaway Vehicle,0
15,7,Vehicle Vandalism,0
13,7,Cell Phone (hand-held),0
2,2,Obstruction/Debris,0
3,6,Other Electronic Device,0
7,7,Drugs (Illegal),0
10,2,Tinted Windows,0
19,3,Cell Phone (hand-held),0
13,2,Vehicle Vandalism,0
10,7,Cell Phone (hands-free),0
12,1,Drugs (Illegal),0
10,7,Illness,0
20,2,Other Lighting Defects,0
12,2,Other Lighting Defects,0
3,2,Driverless/Runaway Vehicle,0
22,1,Shoulders Defective/Improper,0
6,6,Using On Board Navigation Device,0
2,3,Illness,0
22,2,Other Lighting Defects,0
11,2,Drugs (Illegal),0
7,1,Accelerator Defective,0
13,6,Drugs (illegal),0
18,7,Tow Hitch Defective,0
3,5,Drugs (Illegal),0
20,3,Eating or Drinking,0
1,6,Eating or Drinking,0
22,7,Cell Phone (hand-held),0
11,3,Other Lighting Defects,0
20,3,Shoulders Defective/Improper,0
11,3,80,0
21,1,Lane Marking Improper/Inadequate,0
21,5,Drugs (Illegal),0
16,7,Traffic Control Device Improper/Non-Working,0
10,6,Cell Phone (hands-free),0
3,7,Lane Marking Improper/Inadequate,0
8,7,Illnes,0
20,1,Tow Hitch Defective,0
5,7,Obstruction/Debris,0
17,6,Headlights Defective,0
0,3,Windshield Inadequate,0
18,3,Headlights Defective,0
13,4,Cell Phone (hand-held),0
4,3,Illness,0
15,6,Tinted Windows,0
23,5,Tinted Windows,0
22,6,Using On Board Navigation Device,0
2,1,Eating or Drinking,0
1,7,Vehicle Vandalism,0
3,6,Glare,0
22,3,Headlights Defective,0
0,5,Cell Phone (hand-Held),0
1,4,Driverless/Runaway Vehicle,0
17,6,Using On Board Navigation Device,0
22,7,Shoulders Defective/Improper,0
19,4,Texting,0
17,5,Tow Hitch Defective,0
14,7,Vehicle Vandalism,0
23,3,Glare,0
2,5,Accelerator Defective,0
20,3,Using On Board Navigation Device,0
12,4,Vehicle Vandalism,0
11,4,Vehicle Vandalism,0
5,7,Vehicle Vandalism,0
3,1,Headlights Defective,0
2,3,Cell Phone (hands-free),0
21,2,Tinted Windows,0
5,7,Eating or Drinking,0
9,5,Tinted Windows,0
0,5,Tinted Windows,0
5,2,Shoulders Defective/Improper,0
3,7,Vehicle Vandalism,0
8,3,Drugs (illegal),0
8,1,Traffic Control Device Improper/Non-Working,0
15,2,Windshield Inadequate,0
21,1,Vehicle Vandalism,0
13,4,Tinted Windows,0
18,1,Other Lighting Defects,0
3,5,Traffic Control Device Improper/Non-Working,0
18,5,Tinted Windows,0
15,2,Vehicle Vandalism,0
4,6,Illnes,0
6,6,Passing or Lane Usage Improper,0
14,6,Animals Action,0
5,6,Fell Asleep,0
19,3,Unsafe Lane Changing,0
7,1,Reaction to Uninvolved Vehicle,0
11,4,Unsafe Lane Changing,0
1,2,Pavement Defective,0
10,4,Lane Marking Improper/Inadequate,0
17,5,Steering Failure,0
14,2,Failure to Keep Right,0
5,4,Following Too Closely,0
7,1,Unsafe Lane Changing,0
21,7,Brakes Defective,0
19,2,Illnes,0
10,3,Unsafe Lane Changing,0
11,6,Illnes,0
10,5,Failure to Keep Right,0
23,5,Unsafe Lane Changing,0
2,1,Tire Failure/Inadequate,0
12,7,Unsafe Lane Changing,0
17,1,Unsafe Lane Changing,0
5,6,Unsafe Speed,0
23,4,Following Too Closely,0
5,3,Unsafe Lane Changing,0
4,3,Driverless/Runaway Vehicle,0
16,6,Oversized Vehicle,0
22,1,Fell Asleep,0
6,7,Reaction to Uninvolved Vehicle,0
23,4,Fell Asleep,0
16,2,Oversized Vehicle,0
12,4,Accelerator Defective,0
8,4,Fell Asleep,0
18,7,Illnes,0
17,5,Fell Asleep,0
4,7,Unsafe Lane Changing,0
22,5,Illnes,0
23,4,Driver Inexperience,0
22,3,Drugs (illegal),0
5,2,Driverless/Runaway Vehicle,0
20,4,Windshield Inadequate,0
21,4,Fatigued/Drowsy,0
2,1,Fell Asleep,0
5,1,Animals Action,0
9,6,Traffic Control Device Improper/Non-Working,0
21,2,Drugs (illegal),0
15,1,Oversized Vehicle,0
20,2,Reaction to Uninvolved Vehicle,0
1,3,Alcohol Involvement,0
1,7,Outside Car Distraction,0
4,2,Pavement Slippery,0
3,1,Fatigued/Drowsy,0
8,1,Unsafe Lane Changing,0
21,7,Fatigued/Drowsy,0
22,6,Obstruction/Debris,0
5,6,Obstruction/Debris,0
5,4,Traffic Control Disregarded,0
8,4,Illnes,0
3,4,Turning Improperly,0
20,3,Lost Consciousness,0
19,7,Steering Failure,0
10,6,Reaction to Uninvolved Vehicle,0
5,5,Alcohol Involvement,0
17,6,Obstruction/Debris,0
15,7,Tire Failure/Inadequate,0
23,6,Failure to Keep Right,0
8,1,Fell Asleep,0
23,2,Brakes Defective,0
16,2,Fell Asleep,0
10,6,Traffic Control Device Improper/Non-Working,0
19,4,Eating or Drinking,0
8,5,Reaction to Uninvolved Vehicle,0
23,6,Driverless/Runaway Vehicle,0
0,6,Reaction to Uninvolved Vehicle,0
4,1,Steering Failure,0
8,3,Pavement Defective,0
10,2,Brakes Defective,0
4,6,Tire Failure/Inadequate,0
2,6,Reaction to Uninvolved Vehicle,0
8,6,Lane Marking Improper/Inadequate,0
4,2,Obstruction/Debris,0
0,2,Reaction to Uninvolved Vehicle,0
5,4,Unsafe Lane Changing,0
17,4,Lane Marking Improper/Inadequate,0
14,1,Lost Consciousness,0
16,7,Using On Board Navigation Device,0
16,3,Shoulders Defective/Improper,0
3,6,Prescription Medication,0
4,3,Passing Too Closely,0
1,6,Animals Action,0
4,6,Steering Failure,0
3,5,Passing or Lane Usage Improper,0
12,7,Failure to Keep Right,0
15,4,Reaction to Other Uninvolved Vehicle,0
6,1,Glare,0
3,4,Steering Failure,0
9,5,Illnes,0
3,6,Lost Consciousness,0
1,5,Pavement Defective,0
19,6,Steering Failure,0
21,3,Illnes,0
13,2,Fell Asleep,0
21,5,Fatigued/Drowsy,0
13,5,Reaction to Other Uninvolved Vehicle,0
0,3,Shoulders Defective/Improper,0
11,7,Fell Asleep,0
3,7,Turning Improperly,0
11,1,Steering Failure,0
2,7,Unsafe Lane Changing,0
9,7,Brakes Defective,0
4,4,Other Vehicular,0
5,3,Brakes Defective,0
17,2,Obstruction/Debris,0
9,4,Failure to Keep Right,0
0,7,Brakes Defective,0
21,6,Oversized Vehicle,0
0,7,Reaction to Other Uninvolved Vehicle,0
14,1,Fatigued/Drowsy,0
3,6,Turning Improperly,0
9,6,Obstruction/Debris,0
3,3,Reaction to Uninvolved Vehicle,0
23,2,Animals Action,0
4,5,Oversized Vehicle,0
14,4,Animals Action,0
9,7,Cell Phone (hand-Held),0
1,1,Steering Failure,0
3,4,Drugs (illegal),0
7,1,Fell Asleep,0
5,6,Passing Too Closely,0
9,3,Steering Failure,0
16,3,Steering Failure,0
3,7,Using On Board Navigation Device,0
11,3,Lost Consciousness,0
2,4,Other Vehicular,0
13,3,Driverless/Runaway Vehicle,0
0,4,Cell Phone (hand-Held),0
10,7,Fell Asleep,0
12,3,Animals Action,0
5,1,Driver Inexperience,0
12,2,Traffic Control Device Improper/Non-Working,0
3,3,Other Vehicular,0
15,4,Failure to Keep Right,0
1,4,Turning Improperly,0
5,5,Steering Failure,0
23,7,Fatigued/Drowsy,0
9,7,Pavement Defective,0
11,6,Lost Consciousness,0
6,5,Lane Marking Improper/Inadequate,0
3,6,Fatigued/Drowsy,0
3,4,Fatigued/Drowsy,0
1,7,Obstruction/Debris,0
0,5,Vehicle Vandalism,0
17,1,Fatigued/Drowsy,0
9,6,Driverless/Runaway Vehicle,0
2,3,Pavement Slippery,0
22,2,Animals Action,0
9,4,Fell Asleep,0
0,2,Accelerator Defective,0
22,6,Animals Action,0
11,2,Failure to Keep Right,0
9,3,Traffic Control Device Improper/Non-Working,0
0,2,Cell Phone (hands-free),0
22,1,Lane Marking Improper/Inadequate,0
5,4,Fatigued/Drowsy,0
12,1,Tire Failure/Inadequate,0
22,4,Steering Failure,0
2,4,Failure to Keep Right,0
4,7,Pavement Defective,0
14,7,Pavement Defective,0
15,7,Illness,0
16,2,Lane Marking Improper/Inadequate,0
23,7,Lost Consciousness,0
10,6,Other Electronic Device,0
4,1,Tire Failure/Inadequate,0
12,4,Animals Action,0
17,4,Obstruction/Debris,0
19,7,Illnes,0
16,7,Other Electronic Device,0
23,3,Brakes Defective,0
16,5,Traffic Control Device Improper/Non-Working,0
10,6,Pavement Defective,0
2,6,Outside Car Distraction,0
10,5,Traffic Control Device Improper/Non-Working,0
23,5,Lost Consciousness,0
6,2,Failure to Keep Right,0
11,6,Failure to Keep Right,0
17,2,Animals Action,0
16,2,Pavement Defective,0
1,6,Other Lighting Defects,0
7,2,Traffic Control Device Improper/Non-Working,0
8,2,Reaction to Other Uninvolved Vehicle,0
14,5,Fell Asleep,0
23,2,Illness,0
17,1,Traffic Control Device Improper/Non-Working,0
3,2,Passenger Distraction,0
8,3,Tire Failure/Inadequate,0
14,7,Driverless/Runaway Vehicle,0
21,1,Drugs (illegal),0
5,1,Pavement Defective,0
15,3,Accelerator Defective,0
15,7,Pavement Defective,0
13,2,Cell Phone (hand-Held),0
1,4,Lost Consciousness,0
15,5,Failure to Keep Right,0
23,3,Tow Hitch Defective,0
5,4,Pavement Defective,0
12,7,Alcohol Involvement,0
17,1,Lane Marking Improper/Inadequate,0
7,5,Fatigued/Drowsy,0
1,4,Tire Failure/Inadequate,0
10,4,Tow Hitch Defective,0
23,5,Cell Phone (hand-Held),0
12,4,Illnes,0
16,2,Tire Failure/Inadequate,0
5,5,Animals Action,0
18,2,Failure to Keep Right,0
20,4,Driverless/Runaway Vehicle,0
16,7,Obstruction/Debris,0
3,5,Fatigued/Drowsy,0
13,1,Illness,0
23,6,Prescription Medication,0
2,6,Prescription Medication,0
21,1,Prescription Medication,0
18,4,Drugs (illegal),0
22,1,Illnes,0
21,7,Failure to Keep Right,0
10,6,Pavement Slippery,0
